issuer,cik,legal_name,form,filing_date,accession,primary_doc,url,idx
Meta,0001326801,"Meta Platforms, Inc.",424B2,2025-10-30,0001193125-25-257437,d762778d424b2.htm,https://www.sec.gov/Archives/edgar/data/1326801/000119312525257437/d762778d424b2.htm,https://www.sec.gov/Archives/edgar/data/1326801/000119312525257437/
Alphabet,0001652044,Alphabet Inc.,FWP,2025-11-03,0001193125-25-262837,d74700dfwp.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312525262837/d74700dfwp.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312525262837/
Alphabet,0001652044,Alphabet Inc.,424B5,2025-11-03,0001193125-25-261740,d64361d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312525261740/d64361d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312525261740/
Alphabet,0001652044,Alphabet Inc.,424B5,2025-11-03,0001193125-25-261546,d65573d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312525261546/d65573d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312525261546/
Meta,0001326801,"Meta Platforms, Inc.",424B2,2025-11-03,0001193125-25-261217,d762778d424b2.htm,https://www.sec.gov/Archives/edgar/data/1326801/000119312525261217/d762778d424b2.htm,https://www.sec.gov/Archives/edgar/data/1326801/000119312525261217/
Alphabet,0001652044,Alphabet Inc.,FWP,2025-11-04,0001193125-25-263045,d41216dfwp.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312525263045/d41216dfwp.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312525263045/
Alphabet,0001652044,Alphabet Inc.,424B2,2025-11-05,0001193125-25-267244,d64361d424b2.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312525267244/d64361d424b2.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312525267244/
Alphabet,0001652044,Alphabet Inc.,424B2,2025-11-05,0001193125-25-267232,d65573d424b2.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312525267232/d65573d424b2.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312525267232/
Amazon,0001018724,AMAZON COM INC,FWP,2025-11-17,0001104659-25-113283,tm2530638d2_fwp.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465925113283/tm2530638d2_fwp.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465925113283/
Amazon,0001018724,AMAZON COM INC,424B5,2025-11-17,0001104659-25-112970,tm2530638-1_424b5.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465925112970/tm2530638-1_424b5.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465925112970/
Amazon,0001018724,AMAZON COM INC,424B5,2025-11-19,0001104659-25-114098,tm2530638-4_424b5.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465925114098/tm2530638-4_424b5.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465925114098/
Oracle,0001341439,ORACLE CORP,FWP,2026-02-02,0001193125-26-033882,d44245dfwp.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312526033882/d44245dfwp.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312526033882/
Oracle,0001341439,ORACLE CORP,424B5,2026-02-02,0001193125-26-032756,d77737d424b5.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312526032756/d77737d424b5.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312526032756/
Oracle,0001341439,ORACLE CORP,424B2,2026-02-02,0001193125-26-032739,d33906d424b2.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312526032739/d33906d424b2.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312526032739/
Oracle,0001341439,ORACLE CORP,424B5,2026-02-02,0001193125-26-032654,d60756d424b5.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312526032654/d60756d424b5.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312526032654/
Oracle,0001341439,ORACLE CORP,FWP,2026-02-02,0001193125-26-032650,d36096dfwp.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312526032650/d36096dfwp.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312526032650/
Oracle,0001341439,ORACLE CORP,424B5,2026-02-03,0001193125-26-035662,d201622d424b5.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312526035662/d201622d424b5.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312526035662/
Oracle,0001341439,ORACLE CORP,424B2,2026-02-03,0001193125-26-035603,d33906d424b2.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312526035603/d33906d424b2.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312526035603/
Oracle,0001341439,ORACLE CORP,FWP,2026-02-03,0001193125-26-034351,d24013dfwp.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312526034351/d24013dfwp.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312526034351/
Oracle,0001341439,ORACLE CORP,424B5,2026-02-04,0001193125-26-037818,d60756d424b5.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312526037818/d60756d424b5.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312526037818/
Alphabet,0001652044,Alphabet Inc.,424B5,2026-02-09,0001193125-26-041936,d108033d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526041936/d108033d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526041936/
Alphabet,0001652044,Alphabet Inc.,FWP,2026-02-10,0001193125-26-044473,d37599dfwp.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526044473/d37599dfwp.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526044473/
Alphabet,0001652044,Alphabet Inc.,424B5,2026-02-10,0001193125-26-043583,d108423d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526043583/d108423d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526043583/
Alphabet,0001652044,Alphabet Inc.,FWP,2026-02-10,0001193125-26-043127,d297481dfwp.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526043127/d297481dfwp.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526043127/
Alphabet,0001652044,Alphabet Inc.,424B2,2026-02-11,0001193125-26-046846,d108033d424b2.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526046846/d108033d424b2.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526046846/
Alphabet,0001652044,Alphabet Inc.,424B2,2026-02-12,0001193125-26-048730,d108423d424b2.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526048730/d108423d424b2.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526048730/
Amazon,0001018724,AMAZON COM INC,FWP,2026-03-10,0001104659-26-025948,tm266670d5_fwp.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926025948/tm266670d5_fwp.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926025948/
Amazon,0001018724,AMAZON COM INC,424B5,2026-03-10,0001104659-26-025560,tm266670-3_424b5.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926025560/tm266670-3_424b5.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926025560/
Amazon,0001018724,AMAZON COM INC,FWP,2026-03-11,0001104659-26-026393,tm266670d7_fwp.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926026393/tm266670d7_fwp.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926026393/
Amazon,0001018724,AMAZON COM INC,424B5,2026-03-11,0001104659-26-026082,tm266670-2_424b5.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926026082/tm266670-2_424b5.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926026082/
Amazon,0001018724,AMAZON COM INC,424B5,2026-03-12,0001104659-26-027125,tm266670-4_424b5.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926027125/tm266670-4_424b5.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926027125/
Amazon,0001018724,AMAZON COM INC,424B5,2026-03-13,0001104659-26-027669,tm266670-6_424b5.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926027669/tm266670-6_424b5.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926027669/
Meta,0001326801,"Meta Platforms, Inc.",FWP,2026-04-30,0001193125-26-197902,d148113dfwp.htm,https://www.sec.gov/Archives/edgar/data/1326801/000119312526197902/d148113dfwp.htm,https://www.sec.gov/Archives/edgar/data/1326801/000119312526197902/
Meta,0001326801,"Meta Platforms, Inc.",424B2,2026-04-30,0001193125-26-194082,d109954d424b2.htm,https://www.sec.gov/Archives/edgar/data/1326801/000119312526194082/d109954d424b2.htm,https://www.sec.gov/Archives/edgar/data/1326801/000119312526194082/
Meta,0001326801,"Meta Platforms, Inc.",424B2,2026-05-01,0001193125-26-201738,d109954d424b2.htm,https://www.sec.gov/Archives/edgar/data/1326801/000119312526201738/d109954d424b2.htm,https://www.sec.gov/Archives/edgar/data/1326801/000119312526201738/
Alphabet,0001652044,Alphabet Inc.,FWP,2026-05-05,0001193125-26-206809,d134313dfwp.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526206809/d134313dfwp.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526206809/
Alphabet,0001652044,Alphabet Inc.,FWP,2026-05-05,0001193125-26-206404,d127573dfwp.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526206404/d127573dfwp.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526206404/
Alphabet,0001652044,Alphabet Inc.,424B5,2026-05-05,0001193125-26-205120,d325417d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526205120/d325417d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526205120/
Alphabet,0001652044,Alphabet Inc.,424B5,2026-05-05,0001193125-26-204938,d152073d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526204938/d152073d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526204938/
Alphabet,0001652044,Alphabet Inc.,424B2,2026-05-07,0001193125-26-212222,d325417d424b2.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526212222/d325417d424b2.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526212222/
Alphabet,0001652044,Alphabet Inc.,424B2,2026-05-07,0001193125-26-212210,d152073d424b2.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526212210/d152073d424b2.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526212210/
Alphabet,0001652044,Alphabet Inc.,424B5,2026-05-11,0001193125-26-215570,d137872d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526215570/d137872d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526215570/
Alphabet,0001652044,Alphabet Inc.,FWP,2026-05-15,0001193125-26-225046,d104539dfwp.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526225046/d104539dfwp.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526225046/
Alphabet,0001652044,Alphabet Inc.,424B5,2026-05-18,0001193125-26-228923,d137872d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526228923/d137872d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526228923/
Alphabet,0001652044,Alphabet Inc.,FWP,2026-06-01,0001193125-26-251733,d160205dfwp.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526251733/d160205dfwp.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526251733/
Alphabet,0001652044,Alphabet Inc.,424B5,2026-06-02,0001193125-26-252439,d150348d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526252439/d150348d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526252439/
Alphabet,0001652044,Alphabet Inc.,424B5,2026-06-02,0001193125-26-252392,d152175d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526252392/d152175d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526252392/
Alphabet,0001652044,Alphabet Inc.,424B5,2026-06-02,0001193125-26-252374,d159942d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526252374/d159942d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526252374/
Alphabet,0001652044,Alphabet Inc.,424B5,2026-06-02,0001193125-26-252362,d152107d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526252362/d152107d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526252362/
Alphabet,0001652044,Alphabet Inc.,FWP,2026-06-03,0001193125-26-254490,d110089dfwp.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526254490/d110089dfwp.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526254490/
Alphabet,0001652044,Alphabet Inc.,FWP,2026-06-03,0001193125-26-254474,d152589dfwp.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526254474/d152589dfwp.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526254474/
Alphabet,0001652044,Alphabet Inc.,424B5,2026-06-04,0001193125-26-257702,d152175d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526257702/d152175d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526257702/
Alphabet,0001652044,Alphabet Inc.,424B5,2026-06-04,0001193125-26-257690,d159942d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526257690/d159942d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526257690/
Alphabet,0001652044,Alphabet Inc.,424B5,2026-06-04,0001193125-26-256375,d152107d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526256375/d152107d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526256375/
Amazon,0001018724,AMAZON COM INC,FWP,2026-06-08,0001104659-26-071456,tm2613616d3_fwp.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926071456/tm2613616d3_fwp.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926071456/
Amazon,0001018724,AMAZON COM INC,424B5,2026-06-08,0001104659-26-071190,tm2613616-1_424b5.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926071190/tm2613616-1_424b5.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926071190/
Amazon,0001018724,AMAZON COM INC,424B5,2026-06-10,0001104659-26-072332,tm2613616-2_424b5.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926072332/tm2613616-2_424b5.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926072332/
Oracle,0001341439,ORACLE CORP,424B5,2026-06-23,0001193125-26-278585,d120346d424b5.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312526278585/d120346d424b5.htm,https://www.sec.gov/Archives/edgar/data/1341439/000119312526278585/
Amazon,0001018724,AMAZON COM INC,FWP,2026-07-07,0001104659-26-081334,tm2619352d3_fwp.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926081334/tm2619352d3_fwp.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926081334/
Amazon,0001018724,AMAZON COM INC,424B5,2026-07-07,0001104659-26-080950,tm2619352-1_424b5.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926080950/tm2619352-1_424b5.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926080950/
Amazon,0001018724,AMAZON COM INC,424B5,2026-07-08,0001104659-26-081786,tm2619352-2_424b5.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926081786/tm2619352-2_424b5.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926081786/
Alphabet,0001652044,Alphabet Inc.,424B5,2026-08-06,0001193125-26-336853,d140593d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526336853/d140593d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526336853/
Alphabet,0001652044,Alphabet Inc.,424B5,2026-08-06,0001193125-26-336798,d32286d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526336798/d32286d424b5.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526336798/
Alphabet,0001652044,Alphabet Inc.,424B2,2026-08-07,0001193125-26-340264,d32286d424b2.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526340264/d32286d424b2.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526340264/
Alphabet,0001652044,Alphabet Inc.,FWP,2026-08-07,0001193125-26-338750,d159970dfwp.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526338750/d159970dfwp.htm,https://www.sec.gov/Archives/edgar/data/1652044/000119312526338750/
Amazon,0001018724,AMAZON COM INC,424B3,2026-08-18,0001104659-26-098339,tm2617924-6_424b3.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926098339/tm2617924-6_424b3.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926098339/
Amazon,0001018724,AMAZON COM INC,FWP,2026-09-09,0001104659-26-106322,tm2624614d4_fwp.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926106322/tm2624614d4_fwp.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926106322/
Amazon,0001018724,AMAZON COM INC,424B5,2026-09-09,0001104659-26-106115,tm2624614-1_424b5.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926106115/tm2624614-1_424b5.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926106115/
Amazon,0001018724,AMAZON COM INC,424B5,2026-09-11,0001104659-26-107122,tm2624614-3_424b5.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926107122/tm2624614-3_424b5.htm,https://www.sec.gov/Archives/edgar/data/1018724/000110465926107122/
